,DTSTART,DTEND,UID,CREATED,LAST-MODIFIED,LOCATION,SEQUENCE,STATUS,SUMMARY,TRANSP,YEAR_START,MONTH_START,DAY_START,CALDATE_START,TIME_START,YEAR_END,MONTH_END,DAY_END,CALDATE_END,TIME_END,TIME_DURATION
214,20180323T000000Z,20180323T030000Z,2bsk54n43ql9ql3cv5cujc2hd6@google.com,20180317T225636Z,20180317T225636Z,,0,CONFIRMED,Trabalhar em DIAGJUV,OPAQUE,2018,03,23,2018-03-23,00:00,2018,03,23,2018-03-23,03:00,03:00:00
215,20180324T103000Z,20180324T200000Z,5ppr43g2b8dsh6g4ldjcvm0jja@google.com,20180317T225745Z,20180317T225745Z,,0,CONFIRMED,Trabalhar em Consultoria,OPAQUE,2018,03,24,2018-03-24,10:30,2018,03,24,2018-03-24,20:00,09:59:30
217,20180323T123000Z,20180323T133000Z,4a240md55bt7jms014hmnlrjqm@google.com,20180323T020339Z,20180323T020349Z,,1,CONFIRMED,OSAR ,OPAQUE,2018,03,23,2018-03-23,12:30,2018,03,23,2018-03-23,13:30,01:00:00
218,20180323T160000Z,20180323T213000Z,17a93iulj2hicaj7e2bioci1nm@google.com,20180317T223223Z,20180323T020404Z,"Associação dos Empregados da Fundação Joaquim Nabuco\, R. Dois Irm",3,CONFIRMED,Estudar p/ PIBIC,OPAQUE,2018,03,23,2018-03-23,16:00,2018,03,23,2018-03-23,21:30,05:00:30
219,20180325T180000Z,20180325T203000Z,3djgrd4rn1ulgfue7ts5h6mc50@google.com,20180323T020520Z,20180323T020520Z,,0,CONFIRMED,Consultoria Marcelo,OPAQUE,2018,03,25,2018-03-25,18:00,2018,03,25,2018-03-25,20:30,02:00:30
220,20180325T203000Z,20180325T213000Z,16ohiushjohhnat4ng1itn5hk7@google.com,20180323T020840Z,20180323T020840Z,,0,CONFIRMED,Dormir na Madalena,OPAQUE,2018,03,25,2018-03-25,20:30,2018,03,25,2018-03-25,21:30,01:00:00
221,20180325T120000Z,20180325T180000Z,2o7ibmisj1t7c647lg887oqhuh@google.com,20180323T020449Z,20180323T020956Z,,1,CONFIRMED,Estudar e Lista Programação,OPAQUE,2018,03,25,2018-03-25,12:00,2018,03,25,2018-03-25,18:00,06:00:00
222,20180427T170000Z,20180501T180000Z,7crr4vot2aflqdvb2piqlmeoop@google.com,20180323T021457Z,20180323T021457Z,,0,CONFIRMED,RETIRO DARMATA,OPAQUE,2018,04,27,2018-04-27,17:00,2018,05,01,2018-05-01,18:00,01:00:00
223,20180402T140000Z,20180402T153000Z,1lim2v4gjeld5lku9qmpe65l9r@google.com,20180325T150731Z,20180325T150757Z,"CFCH - Centro de Filosofia e Ciências Humanas - UFPE\, Recife - Ci",0,CONFIRMED,Reunião Projeto M. Olímpio,OPAQUE,2018,04,02,2018-04-02,14:00,2018,04,02,2018-04-02,15:30,01:00:30
224,20180327T100000Z,20180327T120000Z,50ipnqmo5enek2d9a1mfj9qgem@google.com,20180326T000226Z,20180326T000227Z,,0,CONFIRMED,Entregar material didático,OPAQUE,2018,03,27,2018-03-27,10:00,2018,03,27,2018-03-27,12:00,02:00:00
225,20180402T103000Z,20180402T200000Z,6ubllbj7mrohurjfq4j6psfae1@google.com,20180327T140706Z,20180327T140706Z,"Universidade Federal de Pernambuco UFPE\, Av. Prof. Moraes Rego\, ",0,CONFIRMED,Finalizar PIBIC APACC,OPAQUE,2018,04,02,2018-04-02,10:30,2018,04,02,2018-04-02,20:00,09:59:30
226,20180327T171500Z,20180327T211500Z,427pmfjjb09gnluqp0ehgq01fa@google.com,20180317T224551Z,20180327T215901Z,"CIn - Centro de Informática - UFPE\, Av. Jorn. Aníbal Fernandes\, ",1,CONFIRMED,Trabalhar em DIAGJUV,OPAQUE,2018,03,27,2018-03-27,17:15,2018,03,27,2018-03-27,21:15,04:00:00
227,20180328T194000Z,20180328T211000Z,5omtk8uemj77jue3j48i9nl7lb@google.com,20180327T135642Z,20180327T220015Z,"Universidade Federal de Pernambuco UFPE\, Av. Prof. Moraes Rego\, ",1,CONFIRMED,Reunião Análise de Conteúdo em R,OPAQUE,2018,03,28,2018-03-28,19:40,2018,03,28,2018-03-28,21:10,01:59:30
228,20180328T123000Z,20180328T133000Z,03af2i7r19s3shua13vc9st44a@google.com,20180328T012602Z,20180328T014845Z,,0,CONFIRMED,Retificação relatório Adir ,OPAQUE,2018,03,28,2018-03-28,12:30,2018,03,28,2018-03-28,13:30,01:00:00
230,20180328T160000Z,20180328T200000Z,43n9lf5314uqgu84ksu0o6onvk@google.com,20180317T224016Z,20180328T120524Z,,3,CONFIRMED,Estudar TCC,OPAQUE,2018,03,28,2018-03-28,16:00,2018,03,28,2018-03-28,20:00,04:00:00
232,20180330T103000Z,20180330T223000Z,66u2kq4vdniu661pr57e6rgfsv@google.com,20180317T223625Z,20180329T111028Z,,1,CONFIRMED,Trabalhar em PIBIC,OPAQUE,2018,03,30,2018-03-30,10:30,2018,03,30,2018-03-30,22:30,12:00:00
233,20180329T111500Z,20180329T223000Z,445qnh1lfaoirp903glem10m77@google.com,20180323T020916Z,20180329T111113Z,,1,CONFIRMED,Trabalhar em DIAGJUV,OPAQUE,2018,03,29,2018-03-29,11:15,2018,03,29,2018-03-29,22:30,11:00:15
234,20180331T214500Z,20180401T014500Z,4o4dqdviaf1b3452fqqcjsmlkh@google.com,20180317T225440Z,20180329T111119Z,,1,CONFIRMED,Trabalhar em Pesquisa DemosOcean,OPAQUE,2018,03,31,2018-03-31,21:45,2018,04,01,2018-04-01,01:45,04:00:00
235,20180331T113000Z,20180331T210000Z,76uif0ldauboga6k3a8ieeqnng@google.com,20180323T021145Z,20180329T111152Z,,1,CONFIRMED,Estudar e Construir TCC,OPAQUE,2018,03,31,2018-03-31,11:30,2018,03,31,2018-03-31,21:00,09:59:30
236,20180329T183000Z,20180329T213000Z,17g6sl3gdmkv6gukne6da138d0@google.com,20180317T223956Z,20180329T111357Z,,9,CONFIRMED,Estudar Programação [Listas] ,OPAQUE,2018,03,29,2018-03-29,18:30,2018,03,29,2018-03-29,21:30,03:00:00
237,20180403T171500Z,20180403T191500Z,4n0q054ep8g6e7j09k7dto06vh@google.com,20180403T020142Z,20180403T020329Z,,1,CONFIRMED,Apresentar PIBIC p/ Bia,OPAQUE,2018,04,03,2018-04-03,17:15,2018,04,03,2018-04-03,19:15,02:00:00
238,20180403T200000Z,20180404T000000Z,6mp30ooig0r3h6nlh53i1mltej@google.com,20180403T020854Z,20180403T020854Z,,0,CONFIRMED,DIAGJUV,OPAQUE,2018,04,03,2018-04-03,20:00,2018,04,04,2018-04-04,00:00,04:00:00
239,20180404T010000Z,20180404T030000Z,27o0gd23cq13l0otmd227cnt8i@google.com,20180403T020914Z,20180403T020920Z,,2,CONFIRMED,TCC,OPAQUE,2018,04,04,2018-04-04,01:00,2018,04,04,2018-04-04,03:00,02:00:00
240,20180404T163000Z,20180404T210000Z,6aqaru51pojn6tv5q7hkcilc1c@google.com,20180403T021003Z,20180403T021003Z,,0,CONFIRMED,DIAGJUV,OPAQUE,2018,04,04,2018-04-04,16:30,2018,04,04,2018-04-04,21:00,04:59:30
241,20180405T180000Z,20180405T230000Z,4efmgpmjtea3fhdkcra84eg0vi@google.com,20180404T104955Z,20180404T104955Z,"Universidade Federal de Pernambuco UFPE\, Av. Prof. Moraes Rego\, ",0,CONFIRMED,Estudar Programação,OPAQUE,2018,04,05,2018-04-05,18:00,2018,04,05,2018-04-05,23:00,05:00:00
242,20180405T110000Z,20180405T153000Z,25tiqrflbhjjtp9cpjj18sqgpc@google.com,20180327T134715Z,20180404T105017Z,"Av. Visc. de Suassuna\, 658 - Santo Amaro\, Recife - PE\, 50050-54",1,CONFIRMED,Reunião DIAGJUV,OPAQUE,2018,04,05,2018-04-05,11:00,2018,04,05,2018-04-05,15:30,04:00:30
243,20180406T133000Z,20180406T190000Z,442dl3tmj23ftbo4at9k5k2n4e@google.com,20180404T105359Z,20180404T105415Z,"Associação dos Empregados da Fundação Joaquim Nabuco\, R. Dois Irm",0,CONFIRMED,Trabalhar em PIBIC,OPAQUE,2018,04,06,2018-04-06,13:30,2018,04,06,2018-04-06,19:00,05:59:30
244,20180409T200000Z,20180409T213000Z,7dbqeh7mjqlurhebfec77hqvi4@google.com,20180404T105804Z,20180404T105810Z,"CIn - Centro de Informática - UFPE\, Av. Jorn. Aníbal Fernandes\, ",0,CONFIRMED,Aula Programação,OPAQUE,2018,04,09,2018-04-09,20:00,2018,04,09,2018-04-09,21:30,01:00:30
245,20180411T103000Z,20180411T123000Z,6lskm21gc4ionlhii74b3kdati@google.com,20180404T105829Z,20180404T105829Z,"Niate CFCH/CCSA\, Av. dos Funcionários\, s/n - Cidade Universitári",0,CONFIRMED,Aula Teoria Democrática II,OPAQUE,2018,04,11,2018-04-11,10:30,2018,04,11,2018-04-11,12:30,02:00:00
246,20180413T103000Z,20180413T123000Z,7k14miia11gkar9ln5ielgpflk@google.com,20180404T105838Z,20180404T105838Z,"Niate CFCH/CCSA\, Av. dos Funcionários\, s/n - Cidade Universitári",0,CONFIRMED,Aula Teoria Democrática II,OPAQUE,2018,04,13,2018-04-13,10:30,2018,04,13,2018-04-13,12:30,02:00:00
247,20180420T103000Z,20180420T123000Z,0o1knonkh2am8tqhm9cbpqs2dk@google.com,20180404T105847Z,20180404T105847Z,"Niate CFCH/CCSA\, Av. dos Funcionários\, s/n - Cidade Universitári",0,CONFIRMED,Aula Teoria Democrática II,OPAQUE,2018,04,20,2018-04-20,10:30,2018,04,20,2018-04-20,12:30,02:00:00
248,20180418T103000Z,20180418T123000Z,4icq25s13dj1352numq2u872gh@google.com,20180404T105857Z,20180404T105857Z,"Niate CFCH/CCSA\, Av. dos Funcionários\, s/n - Cidade Universitári",0,CONFIRMED,Aula Teoria Democrática II,OPAQUE,2018,04,18,2018-04-18,10:30,2018,04,18,2018-04-18,12:30,02:00:00
249,20180425T103000Z,20180425T123000Z,03spcgea2c413hcagg6bmst86c@google.com,20180404T105907Z,20180404T105908Z,"Niate CFCH/CCSA\, Av. dos Funcionários\, s/n - Cidade Universitári",0,CONFIRMED,Aula Teoria Democrática II,OPAQUE,2018,04,25,2018-04-25,10:30,2018,04,25,2018-04-25,12:30,02:00:00
250,20180427T103000Z,20180427T123000Z,2p0cm94470r0inv61v0oquihue@google.com,20180404T105917Z,20180404T105917Z,"Niate CFCH/CCSA\, Av. dos Funcionários\, s/n - Cidade Universitári",0,CONFIRMED,Aula Teoria Democrática II,OPAQUE,2018,04,27,2018-04-27,10:30,2018,04,27,2018-04-27,12:30,02:00:00
251,20180409T163000Z,20180409T193000Z,699dfuptlnvgn8at6qu7phncbg@google.com,20180404T110032Z,20180404T110032Z,,0,CONFIRMED,Estudar Programação,OPAQUE,2018,04,09,2018-04-09,16:30,2018,04,09,2018-04-09,19:30,03:00:00
252,20180411T130000Z,20180411T200000Z,0fpimkm3lqo5v0qe5ik6dn1hmh@google.com,20180404T110726Z,20180404T110726Z,"Universidade Federal de Pernambuco UFPE\, Av. Prof. Moraes Rego\, ",0,CONFIRMED,Estudar TCC,OPAQUE,2018,04,11,2018-04-11,13:00,2018,04,11,2018-04-11,20:00,07:00:00
253,20180411T213000Z,20180411T233000Z,0iuhmevms4136rat9vgtdhu77j@google.com,20180317T224502Z,20180404T110738Z,,2,CONFIRMED,PROVA PROGRAMAÇÃO I,OPAQUE,2018,04,11,2018-04-11,21:30,2018,04,11,2018-04-11,23:30,02:00:00
254,20180409T110000Z,20180409T153000Z,6mc28indfrbgl6dmten51ql59g@google.com,20180404T111801Z,20180404T111801Z,,0,CONFIRMED,Estudar Teoria Democrática,OPAQUE,2018,04,09,2018-04-09,11:00,2018,04,09,2018-04-09,15:30,04:00:30
255,20180408T110000Z,20180408T190000Z,2jdkk79sao75g3bhfjj38s5d4e@google.com,20180404T105221Z,20180404T111909Z,"Coffee Shop São Braz\, R. Pessoa de Melo\, 299 - Madalena\, Recife",3,CONFIRMED,Preparar aula R,OPAQUE,2018,04,08,2018-04-08,11:00,2018,04,08,2018-04-08,19:00,08:00:00
256,20180418T213000Z,20180418T233000Z,4bgmrdj4rje1gc4r6o4kmm3dca@google.com,20180404T112019Z,20180404T112020Z,"CIn - Centro de Informática - UFPE\, Av. Jorn. Aníbal Fernandes\, ",0,CONFIRMED,Aula Programação I,OPAQUE,2018,04,18,2018-04-18,21:30,2018,04,18,2018-04-18,23:30,02:00:00
257,20180416T200000Z,20180416T213000Z,7km4c8chbmg7bci86sjbonuqj9@google.com,20180404T112055Z,20180404T112055Z,"CIn - Centro de Informática - UFPE\, Av. Jorn. Aníbal Fernandes\, ",0,CONFIRMED,Aula Programação,OPAQUE,2018,04,16,2018-04-16,20:00,2018,04,16,2018-04-16,21:30,01:00:30
258,20180423T200000Z,20180423T213000Z,0c89f12q8cc2la6glivel62oln@google.com,20180404T112115Z,20180404T112116Z,"CIn - Centro de Informática - UFPE\, Av. Jorn. Aníbal Fernandes\, ",0,CONFIRMED,Aula Programação,OPAQUE,2018,04,23,2018-04-23,20:00,2018,04,23,2018-04-23,21:30,01:00:30
259,20180410T210000Z,20180411T000000Z,3fahu0nspa19hn4kkup799ef14@google.com,20180404T112624Z,20180404T112650Z,"Praça de Casa Forte\, Recife - PE\, Brasil",0,CONFIRMED,Aula R Carol,OPAQUE,2018,04,10,2018-04-10,21:00,2018,04,11,2018-04-11,00:00,03:00:00
260,20180407T204500Z,20180407T224500Z,2m0dgjdusr70h1dno5l6ia5oki@google.com,20180404T112812Z,20180404T112854Z,,1,CONFIRMED,Estudar Processos I.R.,OPAQUE,2018,04,07,2018-04-07,20:45,2018,04,07,2018-04-07,22:45,02:00:00
261,20180407T160000Z,20180407T203000Z,43tkrs01hk7005fdt3a3g9dfvf@google.com,20180404T105529Z,20180404T112913Z,"Coffee Shop São Braz\, R. Benfica\, 505 - Madalena\, Recife - PE\,",1,CONFIRMED,Estudar Programação,OPAQUE,2018,04,07,2018-04-07,16:00,2018,04,07,2018-04-07,20:30,04:00:30
262,20180410T171500Z,20180410T204500Z,527b7msj1mp6qpp7dkn76mckkg@google.com,20180404T110627Z,20180404T112954Z,"Associação dos Empregados da Fundação Joaquim Nabuco\, R. Dois Irm",1,CONFIRMED,Revisar Apresentação PIBIC,OPAQUE,2018,04,10,2018-04-10,17:15,2018,04,10,2018-04-10,20:45,03:00:30
263,20180414T113000Z,20180414T200000Z,4iqfnkltqllcdi1gea2si51k9f@google.com,20180404T113152Z,20180404T113152Z,"Coffee Shop São Braz\, R. Pessoa de Melo\, 299 - Madalena\, Recife",0,CONFIRMED,Estudar Processos I.R.,OPAQUE,2018,04,14,2018-04-14,11:30,2018,04,14,2018-04-14,20:00,08:59:30
264,20180417T123000Z,20180417T160000Z,124o41bm3qd00gpc7gekmj22v4@google.com,20180404T113242Z,20180404T113242Z,"Niate CFCH/CCSA\, Av. dos Funcionários\, s/n - Cidade Universitári",0,CONFIRMED,Apresentação Processos I.R.,OPAQUE,2018,04,17,2018-04-17,12:30,2018,04,17,2018-04-17,16:00,03:59:30
265,20180416T111500Z,20180416T151500Z,1oa5vhf9q0r0pcp97ln9i0m7ac@google.com,20180404T113638Z,20180404T113640Z,"Universidade Federal de Pernambuco UFPE\, Av. Prof. Moraes Rego\, ",1,CONFIRMED,Trabalhar em DIAGJUV,OPAQUE,2018,04,16,2018-04-16,11:15,2018,04,16,2018-04-16,15:15,04:00:00
266,20180415T113000Z,20180415T153000Z,7g3vmdm9csj9n7v517ivivg6b6@google.com,20180404T113702Z,20180404T113702Z,,0,CONFIRMED,Estudar TCC,OPAQUE,2018,04,15,2018-04-15,11:30,2018,04,15,2018-04-15,15:30,04:00:00
267,20180415T163000Z,20180415T210000Z,79jievb5r85313ut0b6hddmdf4@google.com,20180404T113736Z,20180404T113736Z,,0,CONFIRMED,Preparar Aula R,OPAQUE,2018,04,15,2018-04-15,16:30,2018,04,15,2018-04-15,21:00,04:59:30
268,20180412T210000Z,20180413T010000Z,5uvl7vajv2ifa7ie7i60eeqd1i@google.com,20180404T113841Z,20180404T113842Z,,0,CONFIRMED,Descansar,OPAQUE,2018,04,12,2018-04-12,21:00,2018,04,13,2018-04-13,01:00,04:00:00
269,20180418T123000Z,20180418T143000Z,6s0u33vjdqu4obo2lc5c47hpdv@google.com,20180404T151144Z,20180404T151144Z,"CFCH - Centro de Filosofia e Ciências Humanas - UFPE\, Recife - Ci",0,CONFIRMED,Reunião PELD-TAMS,OPAQUE,2018,04,18,2018-04-18,12:30,2018,04,18,2018-04-18,14:30,02:00:00
270,20180421T170000Z,20180421T220000Z,75h36cj2cpgjabb168p3eb9kcgqjebb2cdhm6bb4ccr3acj161gjeohh6o@google.com,20180411T003204Z,20180413T023932Z,"Rua Visconde de Ouro Preto\, R. Visc. de Ouro Preto - Casa Forte\,",0,CONFIRMED,Reunião PORDATA,OPAQUE,2018,04,21,2018-04-21,17:00,2018,04,21,2018-04-21,22:00,05:00:00
271,20180413T124000Z,20180413T144000Z,3c73rictsj1i62v1afdc69co6e@google.com,20180404T112438Z,20180413T123307Z,"CFCH - Centro de Filosofia e Ciências Humanas - UFPE\, Recife - Ci",0,CONFIRMED,Reunião Ordinária Analytique Consultoria,OPAQUE,2018,04,13,2018-04-13,12:40,2018,04,13,2018-04-13,14:40,02:00:00
272,20180417T213000Z,20180417T233000Z,33fcsjiaossk6j9n81nqckca6b@google.com,20180417T183416Z,20180417T183416Z,"Universidade Federal de Pernambuco UFPE\, Av. Prof. Moraes Rego\, ",0,CONFIRMED,Trabalhar na Analytique,OPAQUE,2018,04,17,2018-04-17,21:30,2018,04,17,2018-04-17,23:30,02:00:00
273,20180420T133000Z,20180420T193000Z,0kph342lcus6tfaugsmv93qair@google.com,20180417T183537Z,20180417T183556Z,"Fundação Joaquim Nabuco\, Av. Dezessete de Agosto\, 2187 - Casa Fo",0,CONFIRMED,Trabalhar em PIBIC,OPAQUE,2018,04,20,2018-04-20,13:30,2018,04,20,2018-04-20,19:30,06:00:00
274,20180419T170000Z,20180419T230000Z,2t3dp8jb8g7q7pcd502ifvcvm8@google.com,20180417T183644Z,20180417T183748Z,"CCSA - Centro de Ciências Sociais Aplicadas - UFPE\, Cidade Univer",0,CONFIRMED,Estudar Programação ,OPAQUE,2018,04,19,2018-04-19,17:00,2018,04,19,2018-04-19,23:00,06:00:00
275,20180418T170000Z,20180418T203000Z,067or23jt65gdn556qiqhnoinf@google.com,20180417T184241Z,20180417T184256Z,"CFCH - Centro de Filosofia e Ciências Humanas - UFPE\, Recife - Ci",0,CONFIRMED,Estudar TDII,OPAQUE,2018,04,18,2018-04-18,17:00,2018,04,18,2018-04-18,20:30,03:00:30
276,20180417T210000Z,20180417T213000Z,16988q95bev9021asempkr86lc@google.com,20180417T184734Z,20180417T184734Z,,0,CONFIRMED,Ver doc de Renata,OPAQUE,2018,04,17,2018-04-17,21:00,2018,04,17,2018-04-17,21:30,00:00:30
277,20180417T200000Z,20180417T210000Z,7dlptk8h25jokm4drs01cu1ei3@google.com,20180417T183338Z,20180417T184742Z,,0,CONFIRMED,Reunião com Marcio,OPAQUE,2018,04,17,2018-04-17,20:00,2018,04,17,2018-04-17,21:00,01:00:00
278,20180421T160000Z,20180421T210000Z,3eprvag3kkj0uumpp0h6vjsl15@google.com,20180418T034605Z,20180418T201712Z,,0,CONFIRMED,Reunião PorData,OPAQUE,2018,04,21,2018-04-21,16:00,2018,04,21,2018-04-21,21:00,05:00:00
279,20180419T200000Z,20180419T210000Z,5n7b2vt3mbsfau4f741ae19ahk@google.com,20180418T202058Z,20180418T202058Z,"CFCH - Centro de Filosofia e Ciências Humanas - UFPE\, Recife - Ci",0,CONFIRMED,Reunião com Flávia,OPAQUE,2018,04,19,2018-04-19,20:00,2018,04,19,2018-04-19,21:00,01:00:00
282,20180424T173000Z,20180424T230000Z,61gj4dpi6pj30b9iccrjgb9kcgo3ib9oc4s64bb3ccojgd9n71hj0dpo6k@google.com,20180424T114032Z,20180424T114033Z,,0,CONFIRMED,Estudar TDII e PIBIC,OPAQUE,2018,04,24,2018-04-24,17:30,2018,04,24,2018-04-24,23:00,05:59:30
284,20180425T193000Z,20180426T000000Z,5g4fg7pl63dn4q026mf2rkaho2@google.com,20180425T002504Z,20180425T002504Z,"Coffee Shop São Braz\, R. Dr. João Asfora\, 26 - loja 1 - Ilha do ",0,CONFIRMED,Reunião com Marcelo / Estudar TD II,OPAQUE,2018,04,25,2018-04-25,19:30,2018,04,26,2018-04-26,00:00,04:59:30
285,20180425T083000Z,20180425T093000Z,1k2ffuec24ni6hjmrdf1i9vknu@google.com,20180425T002942Z,20180425T002942Z,,0,CONFIRMED,ACADEMIA,OPAQUE,2018,04,25,2018-04-25,08:30,2018,04,25,2018-04-25,09:30,01:00:00
286,20180427T170000Z,20180427T210000Z,5q90hg9vjud2k55fm16nnq2d64@google.com,20180425T003251Z,20180425T010225Z,"CCSA - Centro de Ciências Sociais Aplicadas - UFPE\, Cidade Univer",1,CONFIRMED,Desenvolver TCC,OPAQUE,2018,04,27,2018-04-27,17:00,2018,04,27,2018-04-27,21:00,04:00:00
287,20180430T103000Z,20180430T183000Z,7ms5u9h1ak4uc62d3h1ppb0pas@google.com,20180425T184132Z,20180425T184651Z,"Associação dos Empregados da Fundação Joaquim Nabuco\, R. Dois Irm",0,CONFIRMED,Trabalhar em PIBIC,OPAQUE,2018,04,30,2018-04-30,10:30,2018,04,30,2018-04-30,18:30,08:00:00
288,20180427T123000Z,20180427T153000Z,40l6n9ctppra7f338c8qjdfjpk@google.com,20180425T013710Z,20180425T202454Z,Sala de Seminário PPGS andar 12,1,CONFIRMED,Evento da Sociologia,OPAQUE,2018,04,27,2018-04-27,12:30,2018,04,27,2018-04-27,15:30,03:00:00
289,20180430T200000Z,20180430T214000Z,1amdr92uige9jg86sbu0veubvm@google.com,20180425T202638Z,20180425T202638Z,"CIn - Centro de Informática - UFPE\, Av. Jorn. Aníbal Fernandes\, ",0,CONFIRMED,Aula Programação,OPAQUE,2018,04,30,2018-04-30,20:00,2018,04,30,2018-04-30,21:40,01:00:40
290,20180428T113000Z,20180428T150000Z,3lcof119tjekbhm12un1933e34@google.com,20180425T203052Z,20180425T203052Z,"Derby\, Recife - PE\, 52171-011\, Brasil",0,CONFIRMED,Exame de Sangue,OPAQUE,2018,04,28,2018-04-28,11:30,2018,04,28,2018-04-28,15:00,03:59:30
291,20180501T110000Z,20180501T150000Z,7ur568a1clnj66585cjhbhd3o0@google.com,20180425T213725Z,20180425T213725Z,,0,CONFIRMED,Estudar TDII,OPAQUE,2018,05,01,2018-05-01,11:00,2018,05,01,2018-05-01,15:00,04:00:00
292,20180501T170000Z,20180501T210000Z,14lbneai687gh2u4i7cfuptrs8@google.com,20180425T213809Z,20180425T213809Z,,0,CONFIRMED,Desenvolver TCC,OPAQUE,2018,05,01,2018-05-01,17:00,2018,05,01,2018-05-01,21:00,04:00:00
293,20180426T103000Z,20180426T153000Z,1pj3q4rr9s3hnvr17ji4q4e86p@google.com,20180425T002639Z,20180425T213818Z,"Associação dos Empregados da Fundação Joaquim Nabuco\, R. Dois Irm",1,CONFIRMED,PIBIC FUNDAJ,OPAQUE,2018,04,26,2018-04-26,10:30,2018,04,26,2018-04-26,15:30,05:00:00
294,20180429T120000Z,20180429T150000Z,1lejrpnaddt1i38332k2vin961@google.com,20180425T213852Z,20180425T213852Z,,0,CONFIRMED,Arrumar Casa,OPAQUE,2018,04,29,2018-04-29,12:00,2018,04,29,2018-04-29,15:00,03:00:00
295,20180502T113000Z,20180502T143000Z,76mnv6nbikcag0a7dgnkdktkmb@google.com,20180425T213950Z,20180425T213950Z,"CFCH - Centro de Filosofia e Ciências Humanas - UFPE\, Recife - Ci",0,CONFIRMED,Reunião PELD-TAMS,OPAQUE,2018,05,02,2018-05-02,11:30,2018,05,02,2018-05-02,14:30,03:00:00
296,20180502T163000Z,20180502T212000Z,2p2il3krqb8ete8d6n03arqe7c@google.com,20180425T214027Z,20180425T214325Z,"CCSA - Centro de Ciências Sociais Aplicadas - UFPE\, Cidade Univer",0,CONFIRMED,Estudar TDII,OPAQUE,2018,05,02,2018-05-02,16:30,2018,05,02,2018-05-02,21:20,04:59:50
297,20180502T213000Z,20180502T233000Z,3jtikorgulocj0g5n6uh2f1hk6@google.com,20180425T214357Z,20180425T214417Z,"CIn - Centro de Informática - UFPE\, Av. Jorn. Aníbal Fernandes\, ",2,CONFIRMED,Aula Programação,OPAQUE,2018,05,02,2018-05-02,21:30,2018,05,02,2018-05-02,23:30,02:00:00
298,20180427T220000Z,20180427T230000Z,6qb2rljtqapj64gfsj3nbvvqtd@google.com,20180425T214509Z,20180425T214509Z,,0,CONFIRMED,ACADEMIA,OPAQUE,2018,04,27,2018-04-27,22:00,2018,04,27,2018-04-27,23:00,01:00:00
299,20180428T170000Z,20180428T230000Z,33s16mlvht9jrttljdd0jqa4ht@google.com,20180425T205454Z,20180425T214532Z,"Coffee Shop São Braz\, R. Benfica\, 505 - Madalena\, Recife - PE\,",0,CONFIRMED,Estudar Programação,OPAQUE,2018,04,28,2018-04-28,17:00,2018,04,28,2018-04-28,23:00,06:00:00
300,20180429T163000Z,20180429T230000Z,2ln998c3pntggq4g3asuqoacns@google.com,20180425T210125Z,20180425T214545Z,"Coffee Shop São Braz\, R. Pessoa de Melo\, 299 - Madalena\, Recife",0,CONFIRMED,Estudar TDII,OPAQUE,2018,04,29,2018-04-29,16:30,2018,04,29,2018-04-29,23:00,06:59:30
301,20180430T083000Z,20180430T093000Z,4svs7eug8lk7tp8ldm6ni2an6q@google.com,20180425T214605Z,20180425T214634Z,,1,CONFIRMED,ACADEMIA,OPAQUE,2018,04,30,2018-04-30,08:30,2018,04,30,2018-04-30,09:30,01:00:00
302,20180430T220000Z,20180501T010000Z,7e2n36h18uilaufrjf23iuufcp@google.com,20180425T214655Z,20180425T214655Z,,0,CONFIRMED,Trabalhar em DIAGJUV,OPAQUE,2018,04,30,2018-04-30,22:00,2018,05,01,2018-05-01,01:00,03:00:00
303,20180426T163000Z,20180426T190000Z,7lk9lkve43frbfd9silffsopf0@google.com,20180425T002845Z,20180425T214939Z,"Associação dos Empregados da Fundação Joaquim Nabuco\, R. Dois Irm",0,CONFIRMED,Estudar TDII,OPAQUE,2018,04,26,2018-04-26,16:30,2018,04,26,2018-04-26,19:00,02:59:30
304,20180426T203000Z,20180427T003000Z,0lp60pfclrj1s50uubada339qh@google.com,20180425T214918Z,20180425T214943Z,"CIn - Centro de Informática - UFPE\, Av. Jorn. Aníbal Fernandes\, ",1,CONFIRMED,Produzir Aula R,OPAQUE,2018,04,26,2018-04-26,20:30,2018,04,27,2018-04-27,00:30,04:00:00
305,20180427T003000Z,20180427T013000Z,62p9likco0s3rcbeq14gitjkvu@google.com,20180425T003013Z,20180425T214951Z,,2,CONFIRMED,ACADEMIA,OPAQUE,2018,04,27,2018-04-27,00:30,2018,04,27,2018-04-27,01:30,01:00:00
306,20180501T120000Z,20180501T130000Z,7ptua32v6nou8gnedidsirhvmg@google.com,20180428T211610Z,20180428T211610Z,,0,CONFIRMED,INSCREVER NO VIPASSANA RIO,OPAQUE,2018,05,01,2018-05-01,12:00,2018,05,01,2018-05-01,13:00,01:00:00
307,20180504T103000Z,20180504T123000Z,563d81jjgnmb4fm5h3gi1r8i80@google.com,20180505T121609Z,20180505T121620Z,"Universidade Federal de Pernambuco UFPE\, Av. Prof. Moraes Rego\, ",0,CONFIRMED,Aula TDII,OPAQUE,2018,05,04,2018-05-04,10:30,2018,05,04,2018-05-04,12:30,02:00:00
